Purchase_ID,Vendor_Name,Category,Sub_Category,Spend_Amount_INR,Purchase_Date,Region,Payment_Terms,Delivery_Time_Days,Quality_Score,Vendor_Score
PO-10082,"Stokes, Chaney and Smith",Cloud,Google Cloud,1249068.69,2025-01-19,North,Net 45,3,7,85
PO-10083,Black LLC,Consultancy,Digital Transformation,797217.14,2023-04-25,West,Advance,50,8,75
PO-10084,"Clark, Sanchez and Clarke",Maintenance,Support Services,1720449.9,2023-05-23,West,Advance,20,8,70
PO-10085,Johnson Ltd,Hardware,Laptops,1010217.35,2023-10-24,South,Net 45,23,8,95
PO-10086,Scott-Mcdonald,Maintenance,System Upgrades,1139785.05,2025-05-08,East,On Delivery,34,8,95
PO-10087,"Galvan, Yu and Murphy",Hardware,Servers,57871.96,2025-03-02,International,Net 45,49,9,61
PO-10088,Ferguson Group,Maintenance,Support Services,1357705.51,2023-10-23,East,Advance,57,7,80
PO-10089,Cabrera PLC,Cloud,Google Cloud,1705919.88,2025-01-17,East,On Delivery,47,5,68
PO-10090,Lawson-Smith,Hardware,Laptops,1777354.26,2022-11-17,West,On Delivery,20,5,96
PO-10091,Dougherty LLC,Consultancy,Process Automation,826905.21,2024-04-14,North,Net 30,23,6,84
PO-10092,Leach PLC,Maintenance,System Upgrades,1736442.93,2023-07-31,North,Advance,55,5,67
PO-10093,Gutierrez Ltd,Maintenance,Repair,1489082.04,2024-06-01,South,Advance,23,7,70
PO-10094,King-Savage,Cloud,Private Cloud,1261295.39,2025-04-15,West,Net 30,46,5,79
PO-10095,"Davis, Moore and Nelson",Consultancy,Digital Transformation,1212631.87,2024-05-28,North,Net 45,58,9,90
PO-10096,"Flowers, Jones and Mitchell",Software,ERP Systems,1014527.9,2022-11-12,North,Net 45,51,6,78
PO-10097,Blair-Lawrence,Maintenance,Repair,1595570.0,2025-05-24,International,Net 45,45,8,79
PO-10098,Schaefer-Mckinney,Hardware,Peripherals,1995669.67,2024-05-30,East,Advance,37,7,87
PO-10099,Fowler Inc,Software,Licensing,1426456.68,2025-10-02,West,Net 30,7,7,99
PO-10100,Johnson-Rodgers,Software,CRM Tools,1859835.74,2025-05-16,International,Net 30,6,6,87
PO-10101,Stewart and Sons,Cloud,AWS,1834045.43,2023-10-08,International,Net 30,56,9,97
PO-10102,Dyer-Beck,Cloud,Google Cloud,706381.55,2024-04-13,South,Advance,56,10,96
PO-10103,Smith-Gray,Cloud,Google Cloud,784195.7,2025-08-05,North,Net 30,33,10,62
PO-10104,Hill-Lewis,Maintenance,Repair,1802537.38,2024-06-12,International,Net 30,8,10,86
PO-10105,"Marks, Porter and Bates",Hardware,Storage Devices,505685.65,2023-02-03,International,Net 30,41,5,77
PO-10106,"Le, Jones and Sanchez",Cloud,Google Cloud,238937.02,2025-09-18,West,Net 30,29,7,83
PO-10107,Anderson Ltd,Software,ERP Systems,690517.15,2025-10-23,North,Net 45,46,7,73
PO-10108,Morrison LLC,Hardware,Servers,1867711.77,2025-02-08,North,Net 30,53,10,88
PO-10109,Davis Ltd,Cloud,Private Cloud,169620.46,2023-05-25,North,On Delivery,39,5,72
PO-10110,Baxter Ltd,Software,ERP Systems,1314301.79,2023-09-22,South,Net 30,56,10,70
PO-10111,Chandler Inc,Hardware,Laptops,1415153.26,2025-01-14,West,On Delivery,47,5,76
PO-10112,Lopez-Parker,Cloud,Azure,1186385.42,2023-04-20,West,Net 30,27,8,80
PO-10113,Davis LLC,Cloud,Private Cloud,841790.54,2025-02-04,East,Net 30,7,6,68
PO-10114,"Thompson, Thompson and Green",Hardware,Storage Devices,527888.71,2024-03-21,International,Net 30,17,9,97
PO-10115,Fox Group,Hardware,Storage Devices,1053446.66,2024-05-14,International,Advance,13,7,74
PO-10116,Barnes-Rasmussen,Cloud,Private Cloud,615304.95,2024-06-14,International,Net 45,39,8,96
PO-10117,Johnson and Sons,Hardware,Networking,1509206.32,2025-08-15,East,On Delivery,35,6,64
PO-10118,Norman Group,Cloud,Private Cloud,290808.41,2024-02-25,North,Net 45,29,8,97
PO-10119,Patton-Smith,Consultancy,Process Automation,696871.34,2025-01-28,North,Net 45,9,8,62
PO-10120,"English, Arroyo and Decker",Software,Licensing,928901.83,2022-12-24,South,On Delivery,57,7,99
PO-10121,"Hunt, Townsend and Garrett",Consultancy,Digital Transformation,374554.55,2023-09-19,West,On Delivery,16,5,69
PO-10122,Thompson Group,Software,ERP Systems,1246566.17,2023-10-27,South,Net 30,43,6,87
PO-10123,Guerra Group,Hardware,Storage Devices,1703966.63,2023-11-10,North,Net 45,27,8,70
PO-10124,Austin Group,Maintenance,Repair,906785.85,2024-03-22,West,On Delivery,60,10,77
PO-10125,Holloway-Sandoval,Maintenance,System Upgrades,1862018.71,2022-12-21,South,Advance,44,8,93
PO-10126,Anderson LLC,Hardware,Peripherals,756319.89,2024-12-01,International,On Delivery,22,5,84
PO-10127,Morrow LLC,Maintenance,Repair,785343.88,2024-03-19,South,Net 45,40,9,70
PO-10128,Barnes-Garcia,Maintenance,Training,1522660.2,2023-09-12,South,Advance,38,10,82
PO-10129,Peterson Ltd,Consultancy,Digital Transformation,881495.38,2025-07-30,West,Advance,28,10,65
PO-10130,Gonzales-Zuniga,Cloud,Private Cloud,1820504.23,2024-05-02,International,On Delivery,46,7,87
PO-10131,Jenkins-Reynolds,Maintenance,Training,1710761.3,2025-07-04,International,Advance,23,8,75
PO-10132,"Powers, Oconnor and Garcia",Maintenance,Repair,1098229.54,2024-02-09,North,On Delivery,26,7,98
PO-10133,"Bradley, Solomon and Lane",Consultancy,Audit Services,59219.43,2024-12-16,International,Net 45,50,10,74
PO-10134,Roberson-Daniels,Hardware,Peripherals,678175.24,2023-04-03,West,On Delivery,30,9,73
PO-10135,"Velasquez, Johnson and Smith",Cloud,Azure,1675888.38,2024-06-12,International,Advance,5,9,94
PO-10136,Howard Ltd,Software,CRM Tools,1504738.97,2023-09-22,North,Net 30,10,6,70
PO-10137,"Morgan, Thomas and Davis",Software,ERP Systems,985385.23,2024-09-22,International,Advance,50,5,70
PO-10138,Stephens Inc,Consultancy,IT Strategy,833324.73,2023-09-10,North,Net 45,36,6,74
PO-10139,Burns-Hudson,Consultancy,IT Strategy,1532221.1,2023-04-16,North,Net 45,47,5,94
PO-10140,"Garcia, Harrison and Garner",Maintenance,Training,1675747.82,2024-08-04,South,Net 30,41,9,63
PO-10141,Gomez-Hill,Hardware,Servers,1418738.23,2023-06-18,East,Advance,45,8,62
PO-10142,Berger-Knox,Consultancy,Digital Transformation,1517441.93,2024-09-08,South,Advance,33,7,82
PO-10143,Deleon PLC,Maintenance,Training,1260849.23,2025-04-05,West,On Delivery,43,10,78
PO-10144,Meyer-Kennedy,Hardware,Networking,1482139.12,2024-08-25,East,Net 30,33,5,71
PO-10145,"Nichols, Reese and Cummings",Consultancy,Process Automation,1109734.01,2025-07-30,South,On Delivery,60,8,71
PO-10146,Schwartz Inc,Consultancy,Process Automation,1415212.66,2025-03-22,East,On Delivery,18,10,100
PO-10147,Hall Inc,Consultancy,Digital Transformation,1754493.34,2023-04-25,International,On Delivery,59,5,94
PO-10148,Walsh LLC,Consultancy,IT Strategy,219301.86,2025-08-23,North,On Delivery,52,8,85
PO-10149,Garcia LLC,Software,Cybersecurity,383800.29,2022-11-27,East,Advance,48,8,80
PO-10150,Cardenas-Robinson,Maintenance,Repair,1083434.0,2022-11-13,South,On Delivery,35,6,70
PO-10151,Crawford Group,Software,ERP Systems,1729061.16,2024-12-28,East,Net 45,29,9,97
PO-10152,"Rice, Ortega and Mcguire",Software,Cybersecurity,772904.88,2023-11-02,North,Net 45,53,6,74
PO-10153,"Smith, Johnson and Coleman",Consultancy,IT Strategy,852739.12,2023-07-26,South,Net 30,23,9,97
PO-10154,Williams-Aguilar,Hardware,Storage Devices,1795846.72,2025-03-24,East,Net 30,34,6,66
PO-10155,"Rivera, Brooks and Smith",Consultancy,Audit Services,1756181.08,2022-11-20,International,Net 30,13,9,89
PO-10156,Gomez-Vazquez,Consultancy,Process Automation,1316563.08,2024-11-09,South,Net 30,13,10,100
PO-10157,"Christensen, Brown and Carter",Cloud,Azure,218186.64,2024-09-19,South,Advance,15,10,82
PO-10158,Cook Group,Cloud,Google Cloud,553225.46,2024-01-24,East,Net 45,19,8,97
PO-10159,"Mora, Smith and Smith",Software,CRM Tools,481553.48,2024-03-31,International,On Delivery,13,10,64
PO-10160,"Singleton, Young and Rosario",Cloud,Google Cloud,409645.55,2025-04-14,International,On Delivery,9,9,74
PO-10161,Harris-Wright,Software,Licensing,1543773.0,2023-11-11,North,Advance,52,9,83
PO-10162,Ramsey-Sparks,Software,Cybersecurity,839341.16,2023-08-23,International,Net 45,46,8,81
PO-10163,Norris-Peters,Maintenance,System Upgrades,1341475.37,2023-06-02,South,Net 45,41,10,78
PO-10164,"Weaver, Green and Weaver",Consultancy,Digital Transformation,1276684.75,2024-03-25,North,On Delivery,54,7,77
PO-10165,"Rodriguez, Gomez and Townsend",Maintenance,Repair,1123898.5,2024-12-28,South,Net 45,48,10,74
PO-10166,Pena-Potts,Cloud,AWS,389702.83,2024-01-19,North,Net 30,40,9,99
PO-10167,Ryan PLC,Hardware,Networking,1874663.64,2025-05-08,International,Net 45,54,10,98
PO-10168,Oconnor-Ford,Cloud,AWS,1760964.24,2023-11-22,North,On Delivery,51,6,97
PO-10169,David-Wood,Consultancy,Process Automation,1392960.95,2023-11-13,International,Net 30,27,6,60
PO-10170,Combs Inc,Software,SaaS Subscriptions,1896047.79,2024-07-28,East,On Delivery,40,9,95
PO-10171,Johnson Group,Cloud,AWS,1693689.89,2023-07-13,International,On Delivery,4,10,97
PO-10172,"Chavez, Hopkins and Owens",Software,CRM Tools,1852732.18,2025-10-01,International,Advance,52,7,96
PO-10173,Leon Group,Maintenance,Support Services,233055.65,2024-08-18,North,Net 30,18,9,84
PO-10174,Padilla Group,Software,CRM Tools,1366772.88,2023-05-26,East,Net 30,48,6,75
PO-10175,"Gibbs, Blair and Yoder",Consultancy,Audit Services,1867560.82,2024-06-12,West,Net 30,43,7,66
PO-10176,Burke Group,Cloud,AWS,1311292.18,2024-11-08,North,On Delivery,60,5,83
PO-10177,"Hutchinson, Rodriguez and Carlson",Maintenance,Training,1891917.57,2022-12-10,South,Net 30,48,5,81
PO-10178,Hernandez Group,Software,SaaS Subscriptions,553297.09,2025-07-22,International,Net 30,6,8,63
PO-10179,"Watson, Allen and Hodges",Hardware,Servers,480162.2,2023-04-09,International,Net 30,26,10,61
PO-10180,Forbes-Turner,Maintenance,System Upgrades,1676632.02,2024-01-23,International,Net 45,13,6,82
PO-10181,"Smith, Spencer and Holder",Hardware,Networking,1799407.98,2022-12-10,East,Advance,52,10,89
PO-10182,"Hurst, Myers and Simpson",Consultancy,Process Automation,1965968.13,2024-07-19,East,Net 45,26,10,98
PO-10183,Thomas LLC,Software,ERP Systems,113718.2,2025-03-24,East,Net 30,36,5,61
PO-10184,"Scott, Ware and Jackson",Consultancy,Process Automation,1926572.78,2023-04-18,East,On Delivery,42,6,87
PO-10185,"Marshall, Jackson and Campbell",Maintenance,Repair,1575376.74,2023-07-13,North,Advance,9,6,75
PO-10186,Madden PLC,Software,Cybersecurity,872211.87,2024-09-19,North,Advance,47,10,61
PO-10187,"Maynard, Mclaughlin and White",Consultancy,Digital Transformation,433248.04,2025-05-02,North,Net 30,59,6,76
PO-10188,Reid-Bell,Hardware,Servers,1329687.64,2024-06-25,South,On Delivery,52,10,78
PO-10189,James LLC,Maintenance,Training,102656.51,2024-09-23,North,On Delivery,23,10,68
PO-10190,Peterson Group,Consultancy,Digital Transformation,634558.2,2025-03-08,West,On Delivery,36,5,92
PO-10191,Klein-Wilson,Cloud,Azure,187162.37,2025-04-03,West,On Delivery,59,8,73
PO-10192,Butler-Shaw,Cloud,Private Cloud,431658.16,2023-07-08,International,On Delivery,49,10,75
PO-10193,"Gates, Smith and Harris",Hardware,Storage Devices,754152.47,2023-07-14,South,Net 45,24,7,96
PO-10194,"Carroll, Jackson and Mccormick",Maintenance,Support Services,1332464.11,2023-12-24,West,On Delivery,44,5,90
PO-10195,"Patton, Wiley and Moore",Software,CRM Tools,1127302.16,2024-05-02,South,Net 45,42,7,79
PO-10196,Yang Group,Maintenance,Repair,392610.56,2023-01-02,East,On Delivery,44,5,100
PO-10197,"Sims, Fuller and Coleman",Hardware,Laptops,1489319.47,2024-02-13,International,Net 45,32,5,64
PO-10198,"Munoz, Valdez and Mcclain",Hardware,Storage Devices,1482222.9,2022-11-09,East,Net 45,35,5,71
PO-10199,Flowers Group,Consultancy,IT Strategy,404655.25,2025-09-05,East,On Delivery,6,7,86
PO-10200,Smith PLC,Cloud,Google Cloud,439666.26,2024-04-26,South,Advance,51,6,74
PO-10201,"Coffey, Martin and Moran",Hardware,Peripherals,666190.18,2025-03-06,West,Net 45,59,5,98
PO-10202,Gomez LLC,Consultancy,Audit Services,1781698.86,2023-11-13,West,On Delivery,3,5,64
PO-10203,Hardy and Sons,Hardware,Laptops,1486269.7,2025-03-11,West,On Delivery,12,9,91
PO-10204,"Harper, Miller and Fritz",Maintenance,Training,712743.68,2023-08-27,North,Net 30,22,7,78
PO-10205,"Stephens, Flores and Pittman",Cloud,Azure,171119.68,2024-10-26,North,On Delivery,16,10,95
PO-10206,Taylor Ltd,Maintenance,Support Services,761232.73,2025-10-21,North,On Delivery,30,7,88
PO-10207,Peters PLC,Software,ERP Systems,1405442.63,2025-08-18,South,Net 30,9,10,71
PO-10208,Green-Peterson,Consultancy,Audit Services,1512607.33,2025-01-18,West,Advance,42,9,83
PO-10209,Villanueva-Mason,Maintenance,Training,827390.38,2025-07-07,West,Net 30,36,8,91
PO-10210,"George, Dennis and Hunter",Consultancy,Audit Services,982883.34,2024-07-20,West,Net 30,27,5,73
PO-10211,"Carlson, Cooper and Abbott",Hardware,Peripherals,1712749.21,2023-07-06,International,On Delivery,3,5,62
PO-10212,"Gonzalez, Baldwin and Barton",Hardware,Networking,1692243.46,2023-05-07,International,On Delivery,3,5,73
PO-10213,"Lewis, Gonzalez and Thompson",Cloud,Azure,383407.84,2025-06-21,International,Net 45,16,10,80
PO-10214,Wallace-Clark,Maintenance,Repair,151802.94,2022-12-20,South,Advance,28,5,94
PO-10215,"Russell, Cox and Diaz",Cloud,Private Cloud,1194395.18,2024-12-25,International,Net 30,21,6,60
PO-10216,Kim Group,Consultancy,IT Strategy,723820.89,2024-11-30,West,Advance,54,10,66
PO-10217,Thomas Inc,Software,Licensing,695387.02,2023-03-10,North,On Delivery,8,6,95
PO-10218,"Griffith, Juarez and Olson",Cloud,Azure,276295.12,2025-05-03,South,On Delivery,59,9,99
PO-10219,Cohen Group,Maintenance,Repair,1416209.85,2023-01-30,East,Advance,7,6,81
PO-10220,Palmer and Sons,Hardware,Laptops,550046.29,2025-10-08,International,Net 45,14,7,96
PO-10221,Andrade-Parrish,Hardware,Servers,418569.43,2024-07-10,North,On Delivery,29,10,77
PO-10222,Kelly LLC,Hardware,Storage Devices,778869.76,2024-05-28,International,Advance,15,9,66
PO-10223,Lopez-Hall,Consultancy,Audit Services,1726140.55,2023-08-18,North,Net 30,23,10,71
PO-10224,Daniels Inc,Consultancy,Process Automation,1541150.16,2025-06-07,South,Net 30,38,10,80
PO-10225,"Howard, May and Olson",Maintenance,System Upgrades,729399.69,2024-08-17,East,Net 30,15,8,69
PO-10226,Deleon-Woods,Hardware,Servers,1842754.34,2024-12-25,South,On Delivery,25,9,86
PO-10227,Smith-Wells,Maintenance,System Upgrades,84135.9,2025-06-09,International,On Delivery,7,9,72
PO-10228,Hubbard and Sons,Hardware,Storage Devices,323642.42,2023-01-26,East,On Delivery,15,10,71
PO-10229,Brown Group,Maintenance,Repair,100940.17,2025-01-17,South,Advance,33,9,67
PO-10230,Mann-Ramos,Software,Cybersecurity,52523.02,2023-03-16,International,Net 30,35,6,86
PO-10231,Hughes Group,Software,Cybersecurity,1240940.09,2025-06-08,East,Advance,21,8,63
PO-10232,Chan-Barnett,Maintenance,Support Services,1382055.54,2024-10-15,International,Advance,28,7,82
PO-10233,Caldwell-Rojas,Hardware,Servers,303240.95,2024-08-31,West,Advance,59,6,87
PO-10234,Lee PLC,Hardware,Servers,1187139.54,2023-01-02,South,Net 45,49,5,91
PO-10235,"Mooney, Myers and Baird",Cloud,Azure,127568.13,2024-06-28,West,On Delivery,6,7,97
PO-10236,"Gonzalez, Lawson and Thomas",Consultancy,IT Strategy,1608598.65,2024-05-09,North,Net 45,50,10,71
PO-10237,"Jones, Webster and Gutierrez",Hardware,Laptops,930735.2,2025-10-23,South,Advance,46,8,96
PO-10238,"Hoffman, Suarez and Hall",Software,ERP Systems,1948158.46,2024-04-04,West,Net 45,19,10,64
PO-10239,Manning-Peters,Maintenance,System Upgrades,953180.38,2023-04-11,International,Net 30,5,7,85
PO-10240,Neal and Sons,Software,Licensing,585894.98,2024-04-25,East,Net 45,4,8,85
PO-10241,"Benson, Richards and Parker",Maintenance,Support Services,1326462.86,2025-10-09,International,On Delivery,54,7,97
PO-10242,Jones Group,Consultancy,IT Strategy,344768.51,2024-05-07,West,Advance,8,8,82
PO-10243,Ryan-Taylor,Software,CRM Tools,797135.46,2024-10-28,North,Net 45,25,6,85
PO-10244,"Knox, Baker and Thompson",Software,Licensing,1664432.99,2023-11-16,East,Net 45,39,6,81
PO-10245,Hogan-Sanders,Hardware,Laptops,1920406.92,2024-12-28,South,On Delivery,52,6,74
PO-10246,Quinn LLC,Cloud,Google Cloud,938807.75,2025-04-05,South,Net 45,14,10,71
PO-10247,Santos-Johnson,Hardware,Servers,1428375.34,2023-06-20,East,Net 45,51,6,62
PO-10248,Cole-Larson,Consultancy,Process Automation,1933751.04,2023-07-16,International,Net 30,35,8,97
PO-10249,"Johnson, Young and Kline",Consultancy,Audit Services,1089579.13,2022-12-25,International,Advance,3,5,97
PO-10250,Jarvis-Jones,Consultancy,Process Automation,1085361.31,2025-06-12,International,Net 30,4,7,93
PO-10251,Rodriguez-Bush,Consultancy,Audit Services,718068.68,2024-05-15,North,On Delivery,40,7,73
PO-10252,"Le, Nichols and Smith",Consultancy,IT Strategy,906007.97,2023-05-15,South,Net 45,26,10,85
PO-10253,Pace-Hall,Consultancy,Audit Services,1120423.84,2025-07-30,East,Net 30,41,10,69
PO-10254,Conner Group,Cloud,AWS,379778.33,2023-02-27,South,Net 45,23,9,96
PO-10255,"Hayes, Lutz and Barrera",Cloud,Google Cloud,1796858.71,2024-03-03,International,Net 30,60,9,60
PO-10256,Cox Group,Maintenance,Repair,1643561.35,2025-09-05,North,Net 45,20,9,98
PO-10257,"Harris, Garcia and Park",Cloud,Azure,1018017.67,2024-02-13,International,Net 30,15,7,73
PO-10258,Walls Group,Hardware,Laptops,59783.44,2025-08-27,South,On Delivery,40,7,67
PO-10259,Cardenas-Gibson,Cloud,AWS,943646.23,2025-07-14,West,Net 30,32,6,79
